Temperature,Year,Statistics
19.2,1991,Jan Average
20.49,1991,Feb Average
22.46,1991,Mar Average
26.58,1991,Apr Average
27.69,1991,May Average
27.46,1991,Jun Average
27.05,1991,Jul Average
27.43,1991,Aug Average
26.77,1991,Sep Average
23.98,1991,Oct Average
21.99,1991,Nov Average
21.47,1991,Dec Average
19.27,1992,Jan Average
21.28,1992,Feb Average
22.59,1992,Mar Average
25.49,1992,Apr Average
27.22,1992,May Average
27.93,1992,Jun Average
27.8,1992,Jul Average
27.18,1992,Aug Average
26.46,1992,Sep Average
24.51,1992,Oct Average
23.12,1992,Nov Average
20.45,1992,Dec Average
20.93,1993,Jan Average
22.21,1993,Feb Average
21.33,1993,Mar Average
26.68,1993,Apr Average
27.47,1993,May Average
26.98,1993,Jun Average
26.97,1993,Jul Average
26.97,1993,Aug Average
26.3,1993,Sep Average
24.34,1993,Oct Average
23.4,1993,Nov Average
22.19,1993,Dec Average
20.02,1994,Jan Average
20.29,1994,Feb Average
22.39,1994,Mar Average
26.37,1994,Apr Average
27.23,1994,May Average
27.89,1994,Jun Average
27.29,1994,Jul Average
26.88,1994,Aug Average
26.43,1994,Sep Average
25.12,1994,Oct Average
22.66,1994,Nov Average
20.45,1994,Dec Average
20.11,1995,Jan Average
19.78,1995,Feb Average
22.41,1995,Mar Average
24.27,1995,Apr Average
26.43,1995,May Average
27.41,1995,Jun Average
27.28,1995,Jul Average
27.12,1995,Aug Average
26.13,1995,Sep Average
25.21,1995,Oct Average
23.56,1995,Nov Average
20.71,1995,Dec Average
20.23,1996,Jan Average
20.58,1996,Feb Average
22.51,1996,Mar Average
24.71,1996,Apr Average
27.27,1996,May Average
27.64,1996,Jun Average
27.14,1996,Jul Average
27.38,1996,Aug Average
25.78,1996,Sep Average
25.61,1996,Oct Average
24.11,1996,Nov Average
22.26,1996,Dec Average
21.31,1997,Jan Average
22.32,1997,Feb Average
23.54,1997,Mar Average
26.79,1997,Apr Average
27.91,1997,May Average
28.08,1997,Jun Average
27.77,1997,Jul Average
27.69,1997,Aug Average
26.7,1997,Sep Average
25.74,1997,Oct Average
23.81,1997,Nov Average
21.82,1997,Dec Average
20.54,1998,Jan Average
21.97,1998,Feb Average
23.05,1998,Mar Average
25.68,1998,Apr Average
25.87,1998,May Average
27.39,1998,Jun Average
27.36,1998,Jul Average
26.99,1998,Aug Average
26.48,1998,Sep Average
25.29,1998,Oct Average
23.17,1998,Nov Average
19.39,1998,Dec Average
20.74,1999,Jan Average
20.29,1999,Feb Average
22.27,1999,Mar Average
25.35,1999,Apr Average
26.42,1999,May Average
27,1999,Jun Average
27.21,1999,Jul Average
27.4,1999,Aug Average
26.2,1999,Sep Average
25.12,1999,Oct Average
22.46,1999,Nov Average
21.91,1999,Dec Average
21.44,2000,Jan Average
21.48,2000,Feb Average
22.53,2000,Mar Average
26.51,2000,Apr Average
26.42,2000,May Average
27.01,2000,Jun Average
27.25,2000,Jul Average
27.21,2000,Aug Average
26.79,2000,Sep Average
25.46,2000,Oct Average
22,2000,Nov Average
20.75,2000,Dec Average
20.41,2001,Jan Average
22.16,2001,Feb Average
23.11,2001,Mar Average
26.28,2001,Apr Average
26.8,2001,May Average
27.64,2001,Jun Average
27.41,2001,Jul Average
26.71,2001,Aug Average
25.75,2001,Sep Average
24.94,2001,Oct Average
23.27,2001,Nov Average
21.95,2001,Dec Average
20.05,2002,Jan Average
22.2,2002,Feb Average
22.37,2002,Mar Average
26.46,2002,Apr Average
27.56,2002,May Average
27.37,2002,Jun Average
27.57,2002,Jul Average
27.5,2002,Aug Average
26.28,2002,Sep Average
25.25,2002,Oct Average
23.73,2002,Nov Average
20.8,2002,Dec Average
20.27,2003,Jan Average
20.86,2003,Feb Average
22.79,2003,Mar Average
25.82,2003,Apr Average
26.85,2003,May Average
27.19,2003,Jun Average
27.01,2003,Jul Average
27.34,2003,Aug Average
26.27,2003,Sep Average
24.62,2003,Oct Average
23.76,2003,Nov Average
20.9,2003,Dec Average
20.01,2004,Jan Average
22.06,2004,Feb Average
21.7,2004,Mar Average
25.84,2004,Apr Average
27.87,2004,May Average
27.75,2004,Jun Average
27.42,2004,Jul Average
27.13,2004,Aug Average
26.62,2004,Sep Average
25.31,2004,Oct Average
23.81,2004,Nov Average
20.52,2004,Dec Average
20.61,2005,Jan Average
21.89,2005,Feb Average
22.67,2005,Mar Average
25.87,2005,Apr Average
26.56,2005,May Average
27.63,2005,Jun Average
27.56,2005,Jul Average
27.01,2005,Aug Average
26.27,2005,Sep Average
25.71,2005,Oct Average
24.42,2005,Nov Average
21.26,2005,Dec Average
19.73,2006,Jan Average
22.34,2006,Feb Average
23.29,2006,Mar Average
24.83,2006,Apr Average
26.39,2006,May Average
27.79,2006,Jun Average
27.44,2006,Jul Average
26.9,2006,Aug Average
26.03,2006,Sep Average
24.74,2006,Oct Average
22.03,2006,Nov Average
22.1,2006,Dec Average
19.64,2007,Jan Average
18.75,2007,Feb Average
22.33,2007,Mar Average
25.54,2007,Apr Average
26.2,2007,May Average
26.81,2007,Jun Average
27.01,2007,Jul Average
26.91,2007,Aug Average
26.46,2007,Sep Average
25.61,2007,Oct Average
22.58,2007,Nov Average
20.56,2007,Dec Average
18.86,2008,Jan Average
23.17,2008,Feb Average
22.76,2008,Mar Average
25.27,2008,Apr Average
26.39,2008,May Average
27.44,2008,Jun Average
27.33,2008,Jul Average
27.63,2008,Aug Average
26.9,2008,Sep Average
25.54,2008,Oct Average
22.96,2008,Nov Average
21.64,2008,Dec Average
21.19,2009,Jan Average
22.7,2009,Feb Average
23.19,2009,Mar Average
25.91,2009,Apr Average
27.94,2009,May Average
27.77,2009,Jun Average
27.66,2009,Jul Average
26.97,2009,Aug Average
26.74,2009,Sep Average
24.52,2009,Oct Average
22.93,2009,Nov Average
21.53,2009,Dec Average
18.52,2010,Jan Average
21.3,2010,Feb Average
20.11,2010,Mar Average
24.79,2010,Apr Average
26.55,2010,May Average
27.41,2010,Jun Average
27.35,2010,Jul Average
27.1,2010,Aug Average
26.24,2010,Sep Average
24.62,2010,Oct Average
23.87,2010,Nov Average
20.25,2010,Dec Average
19.87,2011,Jan Average
21.22,2011,Feb Average
22.55,2011,Mar Average
26.22,2011,Apr Average
27.39,2011,May Average
27.35,2011,Jun Average
27.29,2011,Jul Average
27.27,2011,Aug Average
26.16,2011,Sep Average
25.57,2011,Oct Average
24.39,2011,Nov Average
22.06,2011,Dec Average
20.26,2012,Jan Average
22.65,2012,Feb Average
23.72,2012,Mar Average
25.81,2012,Apr Average
27.37,2012,May Average
27.47,2012,Jun Average
