firm_ident,return,beta,year,
1,-0.004812734,1.501050141,1996,
2,NA,0.771553016,1996,
3,-0.004812734,1.116419029,1996,
4,-0.004812734,1.12874881,1996,
5,-0.001598855,1.244928541,1996,
6,-0.004812734,1.61161516,1996,
7,0.00901834,1.156761022,1996,
8,-0.004812734,1.61161516,1996,
9,-0.004812734,1.165567446,1996,
10,-0.004812734,1.221273657,1996,
11,0.015646782,1.025072642,1996,
12,0.022556126,0.680199291,1996,
13,NA,1.379732151,1996,
14,-0.009805353,1.016466129,1996,
15,0.004043942,1.316718737,1996,
16,-0.204812734,0.997996479,1996,
17,-0.004812734,NA,1996,
18,-0.014953418,1.258291799,1996,
19,-0.035488644,0.904574315,1996,
20,-0.003749159,NA,1996,
21,-0.004812734,1.261459658,1996,
22,NA,NA,1996,
23,-0.004812734,1.207384859,1996,
24,-0.00504408,1.406789877,1996,
25,-0.037025664,0.83909662,1996,
26,-0.004812734,1.197907367,1996,
27,-0.004812734,0.929059523,1996,
28,NA,0.680199291,1996,
29,-0.004812734,1.582983025,1996,
30,0.035511761,0.851258786,1996,
31,NA,NA,1996,
32,-0.004812734,0.888508789,1996,
33,-0.01044711,1.238362373,1996,
34,-0.004812734,1.338377666,1996,
35,-0.004812734,1.012282597,1996,
36,-0.019271631,0.977668435,1996,
37,-0.004812734,NA,1996,
38,-0.004812734,1.116419029,1996,
39,0.003656199,0.888508789,1996,
40,-0.004812734,1.244928541,1996,
41,-0.004812734,1.024446326,1996,
42,0.005605116,0.884257464,1996,
43,0.015963303,0.889890793,1996,
44,0.009172869,1.134109133,1996,
45,-0.004812734,1.142163157,1996,
46,-0.004812734,1.062511272,1996,
47,-0.004812734,1.025072642,1996,
48,0.020335731,1.406789877,1996,
49,0.009905295,1.194454897,1996,
50,-0.004812734,1.288717282,1996,
51,-0.004812734,1.316718737,1996,
52,NA,NA,1996,
53,NA,0.94613689,1996,
54,-0.00557706,0.828590273,1996,
55,-0.004812734,0.940652303,1996,
56,-0.004812734,NA,1996,
57,0.114879598,1.114462993,1996,
58,-0.004812734,0.997419784,1996,
59,-0.004812734,1.582983025,1996,
60,-0.004812734,1.071741606,1996,
61,NA,0.851258786,1996,
62,NA,1.213379236,1996,
63,-0.004812734,1.316718737,1996,
64,-0.004812734,0.929059523,1996,
65,0.022914321,1.412776586,1996,
66,-0.025123897,0.908157559,1996,
67,0.01840721,1.364235453,1996,
68,-0.027238409,1.273714729,1996,
69,0.021070047,1.094669093,1996,
70,-0.004812734,1.134109133,1996,
71,0.006266736,1.427334209,1996,
72,0.001104953,0.884257464,1996,
73,0.014490128,1.213379236,1996,
74,0.004054167,1.12874881,1996,
75,-0.004812734,1.221273657,1996,
76,-0.022728505,1.114462993,1996,
77,0.010016869,NA,1996,
78,NA,0.920989017,1996,
79,-0.00632532,0.940652303,1996,
80,-0.004812734,1.165567446,1996,
81,-0.004812734,1.062511272,1996,
82,-0.004812734,0.680199291,1996,
83,0.011603842,1.134109133,1996,
84,-0.004812734,1.248908163,1996,
85,-0.004812734,0.873803458,1996,
86,-0.004812734,1.501050141,1996,
87,-0.022641605,0.969975388,1996,
88,0.009883448,1.094669093,1996,
89,-0.004812734,1.275663494,1996,
90,0.032002277,1.235073152,1996,
91,-0.004812734,0.904574315,1996,
92,NA,1.235073152,1996,
93,-0.004812734,1.025072642,1996,
94,-0.004812734,0.680199291,1996,
95,0.005085406,1.262146231,1996,
96,-0.004812734,1.207384859,1996,
97,-0.004812734,0.893385961,1996,
98,0.019577832,1.295782571,1996,
99,-0.02332399,1.165567446,1996,
100,-0.004812734,0.904574315,1996,
101,-0.013293676,1.054100354,1996,
102,-0.004812734,0.884257464,1996,
103,-0.003532803,1.074155871,1996,
104,NA,1.507296154,1996,
105,-0.004812734,0.929059523,1996,
106,NA,0.967301705,1996,
107,-0.004812734,1.197907367,1996,
108,0.01335554,1.244928541,1996,
109,-0.002933687,0.884257464,1996,
110,-0.004812734,1.074155871,1996,
111,-0.010027658,0.891509847,1996,
112,-0.004812734,1.210918247,1996,
113,0.009439784,0.923126643,1996,
114,0.010362336,0.904574315,1996,
115,NA,0.997419784,1996,
116,-0.004812734,1.234008606,1996,
117,NA,1.324295242,1996,
118,0.027518991,0.940652303,1996,
119,-0.019034847,1.308472492,1996,
120,NA,1.064182502,1996,
121,-0.004812734,1.210918247,1996,
122,-0.004812734,NA,1996,
123,0.000642487,0.929059523,1996,
124,0.053470866,1.412776586,1996,
125,-0.004812734,1.170269496,1996,
126,-0.004812734,0.997419784,1996,
127,0.015253882,1.244928541,1996,
128,0.045816409,1.071741606,1996,
129,-0.004812734,1.288717282,1996,
130,0.005562697,0.969070646,1996,
131,0.007056501,1.194454897,1996,
132,-0.004812734,1.071741606,1996,
133,-0.016532094,NA,1996,
134,0.002071258,1.054100354,1996,
135,0.003166474,1.244928541,1996,
136,-0.004812734,0.977668435,1996,
137,0.011159137,1.316718737,1996,
138,-0.004812734,1.213379236,1996,
139,0.048831899,1.163017145,1996,
140,0.032482781,1.044047302,1996,
141,0.018574591,1.012282597,1996,
142,0.039096486,1.244928541,1996,
143,-0.004812734,1.223713656,1996,
144,0.015545491,1.308472492,1996,
145,-0.0178072,1.022627872,1996,
146,0.016081827,0.893385961,1996,
147,0.016682951,0.66087061,1996,
148,0.043359493,1.377575195,1996,
149,-0.004812734,1.316718737,1996,
150,-0.010986183,0.861864033,1996,
151,0.043106435,0.758987667,1996,
152,0.102067267,1.116419029,1996,
153,0.015852149,1.213379236,1996,
154,-0.004812734,1.295782571,1996,
155,-0.004812734,0.969070646,1996,
156,NA,1.235073152,1996,
157,0.010897648,1.238362373,1996,
158,0.054044195,1.064645954,1996,
159,NA,1.238362373,1996,
160,-0.004812734,1.273714729,1996,
161,-0.000448159,1.064645954,1996,
162,-0.004812734,0.861864033,1996,
163,-0.004812734,NA,1996,
164,-0.031191697,1.012282597,1996,
165,-0.000933411,0.978904339,1996,
166,0.021240188,0.861864033,1996,
167,NA,1.501050141,1996,
168,-0.015229656,1.170269496,1996,
169,0.005568332,1.074155871,1996,
170,-0.004812734,0.861864033,1996,
171,-0.004812734,1.071741606,1996,
172,0.016131789,1.275663494,1996,
173,-0.004812734,1.324295242,1996,
174,0.0062527,1.273622806,1996,
175,NA,NA,1996,
176,NA,1.238362373,1996,
177,-0.004812734,1.275663494,1996,
178,-0.004812734,0.889890793,1996,
179,-0.000937728,1.071741606,1996,
180,-0.004812734,1.412776586,1996,
181,-0.036970982,1.258291799,1996,
182,-0.049048643,1.258291799,1996,
183,0.039353748,1.210918247,1996,
184,-0.004812734,1.170269496,1996,
185,-0.004812734,1.170269496,1996,
186,-0.004812734,0.888508789,1996,
187,0.023275703,1.364235453,1996,
188,-0.004812734,0.833983897,1996,
189,NA,NA,1996,
190,-0.036979659,1.364235453,1996,
191,-0.004812734,1.238362373,1996,
192,0.007829582,1.094669093,1996,
193,0.017631041,1.025072642,1996,
194,-0.024042001,1.308472492,1996,
195,0.05329451,NA,1996,
196,0.005986966,1.427334209,1996,
197,-0.004812734,0.889284661,1996,
198,NA,1.012282597,1996,
199,0.012270566,1.538940422,1996,
200,-0.001974449,0.866701747,1996,
201,-0.004812734,1.507296154,1996,
202,0.025060958,1.275663494,1996,
203,-0.007050773,1.064645954,1996,
204,0.010049427,1.248908163,1996,
205,-0.004812734,0.872225526,1996,
206,-0.004812734,0.873803458,1996,
207,-0.004812734,0.888508789,1996,
208,0.001959496,1.316718737,1996,
209,-0.133638971,1.406789877,1996,
210,-0.004812734,1.238362373,1996,
211,0.01502774,1.071741606,1996,
212,0.013954773,1.044047302,1996,
213,NA,1.364235453,1996,
214,-0.004812734,0.833983897,1996,
215,NA,1.379732151,1996,
216,-0.016681816,0.914116855,1996,
217,-0.004812734,1.016466129,1996,
218,NA,NA,1996,
219,-0.004812734,1.275663494,1996,
220,-0.004812734,1.116419029,1996,
221,NA,0.904574315,1996,
222,-0.00142153,1.261459658,1996,
223,-0.004812734,1.364235453,1996,
224,-0.009714695,1.238362373,1996,
225,-0.004812734,0.994280432,1996,
226,-0.004812734,0.969975388,1996,
227,NA,NA,1996,
228,-0.004812734,1.134109133,1996,
229,-0.004812734,1.406789877,1996,
230,-0.004812734,1.221273657,1996,
231,0.035979892,1.221273657,1996,
232,0.040548345,1.081631913,1996,
233,0.009665299,0.851258786,1996,
234,-0.004812734,1.223713656,1996,
235,-0.004812734,0.851258786,1996,
236,NA,0.963879159,1996,
237,0.013094782,0.977668435,1996,
238,-0.004812734,0.873803458,1996,
239,NA,1.025072642,1996,
240,0.035647359,1.244928541,1996,
241,-0.004812734,0.997419784,1996,
242,-0.004812734,1.338377666,1996,
243,-0.004812734,1.12874881,1996,
244,0.020800052,1.024446326,1996,
245,-0.052795242,1.223713656,1996,
246,NA,1.064182502,1996,
247,0.022951006,0.771553016,1996,
248,-0.004812734,0.904574315,1996,
249,-0.004812734,1.012282597,1996,
250,-0.004812734,1.235073152,1996,
251,0.043455091,0.771553016,1996,
252,-0.004812734,1.054100354,1996,
253,-0.004812734,0.889890793,1996,
254,NA,0.963879159,1996,
255,0.03586557,1.221273657,1996,
256,-0.004812734,1.197907367,1996,
257,-0.004812734,0.771553016,1996,
258,-0.004812734,1.61161516,1996,
259,-0.004812734,1.61161516,1996,
260,-0.004812734,1.538940422,1996,
261,0.007368139,1.338377666,1996,
262,-0.004812734,0.861864033,1996,
263,-0.004812734,1.262146231,1996,
264,0.026433981,1.071741606,1996,
265,0.035996374,1.064182502,1996,
266,-0.004812734,1.248908163,1996,
267,-0.035562155,0.997996479,1996,
268,-0.004812734,0.872225526,1996,
269,-0.004812734,1.295782571,1996,
270,-0.004812734,1.064645954,1996,
271,-0.004812734,1.507296154,1996,
272,-0.004812734,1.197907367,1996,
273,-0.004812734,0.969975388,1996,
274,-0.012341116,1.022627872,1996,
275,0.030366317,0.967301705,1996,
276,-0.004812734,0.969975388,1996,
277,-0.009453212,1.406789877,1996,
278,0.02058786,1.379732151,1996,
279,0.001895405,1.054100354,1996,
280,0.010321616,1.197907367,1996,
281,NA,1.262146231,1996,
282,0.033868483,1.169619725,1996,
283,-0.016338666,1.582983025,1996,
284,0.003314887,1.61161516,1996,
285,-0.004812734,0.969975388,1996,
286,0.012766728,1.197907367,1996,
287,-0.004812734,1.288717282,1996,
288,NA,1.094669093,1996,
289,NA,1.094669093,1996,
290,-0.004812734,1.295782571,1996,
291,-0.004812734,0.969975388,1996,
292,-0.004812734,1.582983025,1996,
293,-0.004812734,1.308472492,1996,
294,-0.004812734,1.538940422,1996,
295,-0.004812734,0.940652303,1996,
296,-0.011752763,0.861864033,1996,
297,-0.004812734,1.022627872,1996,
298,-0.004812734,0.977668435,1996,
299,-0.004812734,1.024446326,1996,
300,NA,0.742266614,1996,
301,0.005965362,0.994280432,1996,
302,-0.004812734,0.978904339,1996,
303,-0.053748297,1.234008606,1996,
304,-0.008095916,1.016466129,1996,
305,-0.004812734,1.074155871,1996,
306,-0.004812734,1.194454897,1996,
307,0.000205923,1.273622806,1996,
308,0.007913868,0.963879159,1996,
309,-0.004812734,0.893385961,1996,
310,NA,1.114462993,1996,
311,-0.004812734,0.83909662,1996,
312,-0.004812734,0.94613689,1996,
313,NA,0.893385961,1996,
314,-0.004812734,0.889284661,1996,
315,-0.004812734,1.024446326,1996,
316,0.000443119,0.940652303,1996,
317,-0.004812734,NA,1996,
318,0.004383613,0.997419784,1996,
319,-0.004812734,1.12874881,1996,
320,-0.002324738,0.828590273,1996,
321,-0.009953456,1.538940422,1996,
322,-0.004812734,0.978904339,1996,
323,-0.004812734,1.295782571,1996,
324,-0.004812734,0.977668435,1996,
325,0.024824412,1.538940422,1996,
326,-0.004812734,0.861864033,1996,
327,-0.004812734,0.888508789,1996,
328,-0.004812734,1.012282597,1996,
329,-0.004812734,0.758987667,1996,
330,-0.004812734,1.283113982,1996,
331,0.027321089,0.742266614,1996,
332,-0.004812734,0.893385961,1996,
333,-0.004812734,1.165567446,1996,
334,-0.004812734,1.054100354,1996,
335,-0.004812734,1.071741606,1996,
336,-0.004812734,1.412776586,1996,
337,-0.004812734,1.364235453,1996,
338,-0.004812734,1.062511272,1996,
339,-0.004812734,1.163017145,1996,
340,NA,NA,1996,
341,-0.004812734,0.994280432,1996,
342,-0.004812734,0.889890793,1996,
343,-0.004812734,1.338377666,1996,
344,0.012724166,1.261459658,1996,
345,-0.004812734,1.308472492,1996,
346,-0.004812734,0.889284661,1996,
347,0.013424464,1.283113982,1996,
348,-0.004812734,0.967301705,1996,
349,-0.004812734,0.920989017,1996,
350,0.01734446,NA,1996,
351,0.035418608,1.288717282,1996,
352,-0.079102966,1.283113982,1996,
353,-0.008794329,1.062511272,1996,
354,0.021315874,1.134109133,1996,
355,-0.004812734,1.427334209,1996,
356,0.009245621,1.081631913,1996,
357,-0.017787303,1.244928541,1996,
358,-0.004812734,1.507296154,1996,
359,0.016459939,1.377575195,1996,
360,-0.004812734,1.261459658,1996,
361,-0.004812734,1.275663494,1996,
362,-0.004812734,0.888508789,1996,
363,0.03195218,0.889284661,1996,
364,-0.004812734,1.538940422,1996,
365,-0.004812734,0.866701747,1996,
366,0.031002791,NA,1996,
367,NA,0.828590273,1996,
368,-0.004812734,1.244928541,1996,
369,-0.04639566,1.134109133,1996,
370,-0.004812734,1.505517442,1996,
371,-0.004812734,1.223713656,1996,
372,NA,NA,1996,
373,-0.004812734,1.071741606,1996,
374,-0.004812734,1.248908163,1996,
375,-0.004812734,1.194454897,1996,
376,-0.004812734,1.169619725,1996,
377,-0.004812734,1.273622806,1996,
378,-0.004812734,0.742266614,1996,
379,-0.004812734,1.094669093,1996,
380,0.003866036,1.582983025,1996,
381,-0.004812734,1.210918247,1996,
382,-0.004812734,1.234008606,1996,
383,0.007209367,1.538940422,1996,
384,0.026677348,0.888508789,1996,
385,0.012707585,1.025072642,1996,
386,-0.004812734,0.888508789,1996,
387,-0.024110712,1.234008606,1996,
388,0.019185961,1.12874881,1996,
389,-0.004812734,0.977668435,1996,
390,-0.004812734,0.758987667,1996,
391,0.043866228,1.235073152,1996,
392,0.053358193,0.929059523,1996,
